,Reaction_name,Reaction_name_long,Subsystem,cell_type,associated_genes
11924,HSD3B2r_pos,3_beta-hydroxysteroid_dehydrogenase_type_1,Steroid_metabolism,Adipocytes,HSD3B2
11925,DCMPDA_pos,dCMP_deaminase,Pyrimidine_catabolism,Adipocytes,DCTD
11926,P45021A2r_pos,Steroid_21-hydroxylase,Steroid_metabolism,Adipocytes,CYP21A1
11927,P45011B12m_pos,Steroid_11-beta-hydroxylase,Steroid_metabolism,Adipocytes,CYP11B1
11928,34DHXMANDACOX_NADP__neg,3_4-Dihydroxymandelaldehyde:NADP+_oxidoreductase,Tyrosine_metabolism,Adipocytes,ALDH3B1
11929,34DHXMANDACOX_pos,3_4-Dihydroxymandelaldehyde:NAD+_oxidoreductase,Tyrosine_metabolism,Adipocytes,ALDH1A3
11930,34DHPLACOX_NADP__neg,3_4-Dihydroxyphenylacetaldehyde:NADP+_oxidoreductase,Tyrosine_metabolism,Adipocytes,ALDH3A1
11931,34DHPLACOX_pos,3_4-Dihydroxyphenylacetaldehyde:NAD+_oxidoreductase,Tyrosine_metabolism,Adipocytes,ALDH1A3
11932,NTD10_pos,5'-nucleotidase_(XMP),Nucleotide_interconversion,Adipocytes,NT5C
11933,r0191_pos,UTP:D-fructose-6-phosphate_1-phosphotransferase_EC:2.7.1.11,Fructose_and_mannose_metabolism,Adipocytes,PFKL
11934,r2437_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.8.3,Transport__mitochondrial,Adipocytes,SLC25A20
11935,COAtm_pos,CoA_transporter,Transport__mitochondrial,Adipocytes,SLC25A16
11936,FAOXC22C22DCHYr_pos,fatty_acid_omega_oxidation_by_hydroxylases(C22-->C22DC)er,Fatty_acid_oxidation,Adipocytes,CYP4F15
11937,P4501B1r_pos,cytochrome_P450_1B1,Steroid_metabolism,Adipocytes,CYP1B1
11938,HSD17B1_pos,testicular_17-beta-hydroxysteroid_dehydrogenase,Steroid_metabolism,Adipocytes,H2-KE6
11939,P45019A2r_pos,aromatase,Steroid_metabolism,Adipocytes,CYP19A1
11940,P45019A1r_pos,aromatase,Steroid_metabolism,Adipocytes,CYP19A1
11941,PIK3_pos,phosphatidylinositol_3-kinase,Inositol_phosphate_metabolism,Adipocytes,HCST
11942,r0547_neg,Aldehyde:NADP+_oxidoreductase_Phenylalanine_metabolism_EC:1.2.1.5,Phenylalanine_metabolism,Adipocytes,ALDH1A3
11943,r0545_pos,Phenylacetaldehyde:NAD+_oxidoreductase_Phenylalanine_metabolism_/_Styrene_degradation_EC:1.2.1.5_EC:1.2.1.39,Phenylalanine_metabolism,Adipocytes,ALDH1A3
11944,3MOX4HOXPGALDOX_pos,3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+_oxidoreductase,Tyrosine_metabolism,Adipocytes,ALDH1A3
11945,3MOX4HOXPGALDOX_NADP__neg,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+_oxidoreductase,Tyrosine_metabolism,Adipocytes,ALDH1A3
11946,TALA_pos,transaldolase,Pentose_phosphate_pathway,Adipocytes,TALDO1
11947,FBA_pos,fructose-bisphosphate_aldolase,Glycolysis/gluconeogenesis,Adipocytes,ALDOART2
11948,PFK_pos,phosphofructokinase,Glycolysis/gluconeogenesis,Adipocytes,PFKL
11949,r0407_neg,Sedoheptulose_1_7-bisphosphate_D-glyceraldehyde-3-phosphate-lyase_Carbon_fixation_EC:4.1.2.13,Unassigned,Adipocytes,ALDOART2
11950,r0051_neg,AMP:pyrophosphate_phosphoribosyltransferase_Purine_metabolism_EC:2.4.2.7,Purine_catabolism,Adipocytes,APRT
11951,HMGCOASi_pos,Hydroxymethylglutaryl_CoA_synthase_(ir),Cholesterol_metabolism,Adipocytes,HMGCS1
11952,SCP21cx_pos,transport_of_phytanoylcoa_from_cytosol_to_peroxisomes.,Transport__peroxisomal,Adipocytes,ABCD3
11953,SCP21x_neg,Sterol_carrier_protein_2,Transport__peroxisomal,Adipocytes,SCP2
11954,A4GNT2g_pos,alpha_1_4-N-acetylglucosaminyltransferase__Golgi_apparatus,O-glycan_synthesis,Adipocytes,A4GNT
11955,RE1796M_pos,RE1796,Bile_acid_synthesis,Adipocytes,HSD3B2
11956,HISTAtu_pos,Histamine_uniport,Transport__extracellular,Adipocytes,SLC22A2
11957,r2308_neg,Resistance-Nodulation-Cell_Division_(RND)_TCDB:2.A.60.1.14,Transport__extracellular,Adipocytes,SLCO1A1
11958,P4507B12r_pos,oxysterol_7alpha-hydroxylase,Bile_acid_synthesis,Adipocytes,CYP7B1
11959,r1453_neg,L-proline:(acceptor)_oxidoreductase_Arginine_and_proline_metabolism_EC:1.5.99.8,Unassigned,Adipocytes,PRODH
11960,DCYTD_pos,deoxycytidine_deaminase,Pyrimidine_catabolism,Adipocytes,AICDA
11961,CSNATp_neg,carnitine_O-acetyltransferase__reverse_direction__peroxisomal,Fatty_acid_oxidation,Adipocytes,CRAT
11962,NADNe_pos,NAD_nucleosidase_extracellular,NAD_metabolism,Adipocytes,CD38
11963,NADPNe_pos,NADP_nucleosidase_extracellular,NAD_metabolism,Adipocytes,CD38
11964,r0022_pos,glutathione:NAD+_oxidoreductase_Glutamate_metabolism_EC:1.8.1.7,Glutathione_metabolism,Adipocytes,GSR
11965,GTHOm_pos,glutathione_oxidoreductase,Glutamate_metabolism,Adipocytes,GSR
11966,r1559_neg,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.8.1,Transport__extracellular,Adipocytes,SLC7A5
11967,PUNP1_neg,purine-nucleoside_phosphorylase_(Adenosine),Nucleotide_interconversion,Adipocytes,PNP2
11968,ACACT1x_pos,acetyl-CoA_C-acetyltransferase__mitochondrial,Cholesterol_metabolism,Adipocytes,ACAT3
11969,r0463_neg,(S)-3-Hydroxy-3-methylglutaryl-CoA_acetoacetyl-CoA-lyase_(CoA-acetylating)_Synthesis_and_degradation_of_ketone_bodies_/_Valine__leucine_and_isoleucine_degradation_/_Butanoate_metabolism_EC:2.3.3.10,Cholesterol_metabolism,Adipocytes,HMGCS1
11970,ASNCYSNaEx_pos,L-cysteine/L-asparagine_Na-dependent_exchange_(Asn-L_in),Transport__extracellular,Adipocytes,SLC1A5
11971,ASNTHRNaEx_pos,L-threonine/L-asparagine_Na-dependent_exchange_(Asn-L_in),Transport__extracellular,Adipocytes,SLC1A5
11972,CYSASNNaEx_pos,L-cysteine/L-asparagine_Na-dependent_exchange_(Cys-L_in),Transport__extracellular,Adipocytes,SLC1A5
11973,ASNALANaEx_pos,L-alanine/L-asparagine_Na-dependent_exchange_(Asn-L_in),Transport__extracellular,Adipocytes,SLC1A5
11974,SERASNNaEx_pos,L-serine/L-asparagine_Na-dependent_exchange_(Ser-L_in),Transport__extracellular,Adipocytes,SLC1A5
11975,ASNGLNNaEx_pos,L-glutamine/L-asparagine_Na-dependent_exchange_(Asn-L_in),Transport__extracellular,Adipocytes,SLC1A5
11976,ASNSERNaEx_pos,L-serine/L-asparagine_Na-dependent_exchange_(Asn-L_in),Transport__extracellular,Adipocytes,SLC1A5
11977,GLNASNNaEx_pos,L-glutamine/L-asparagine_Na-dependent_exchange_(Gln-L_in),Transport__extracellular,Adipocytes,SLC1A5
11978,THRASNNaEx_pos,L-threonine/L-asparagine_Na-dependent_exchange_(Thr-L_in),Transport__extracellular,Adipocytes,SLC1A5
11979,ALAASNNaEx_pos,L-alanine/L-asparagine_Na-dependent_exchange_(Ala-L_in),Transport__extracellular,Adipocytes,SLC1A5
11980,NRPPHRtu_neg,Norepinephrine_uniport,Transport__extracellular,Adipocytes,SLC22A1
11981,NRPPHRt4_2_r_pos,Norepinephrine_reversible_transport_in_via_sodium_symport_(1:2),Transport__extracellular,Adipocytes,SLC6A2
11982,RPI_neg,ribose-5-phosphate_isomerase,Pentose_phosphate_pathway,Adipocytes,RPIA
11983,r0249_neg,D-Ribose-5-phosphate_ketol-isomerase_Pentose_phosphate_pathway_EC:5.3.1.6,Pentose_phosphate_pathway,Adipocytes,RPIA
11984,RPI_pos,ribose-5-phosphate_isomerase,Pentose_phosphate_pathway,Adipocytes,RPIA
11985,r0249_pos,D-Ribose-5-phosphate_ketol-isomerase_Pentose_phosphate_pathway_EC:5.3.1.6,Pentose_phosphate_pathway,Adipocytes,RPIA
11986,r0434_neg,Palmitoyl-CoA:L-carnitine_O-palmitoyltransferase_Fatty_acid_metabolism_EC:2.3.1.21,Fatty_acid_oxidation,Adipocytes,CPT1A
11987,C160CPT1_pos,production_of_Palmitoylcarnitine,Fatty_acid_oxidation,Adipocytes,CPT1A
11988,r0437_neg,Palmitoyl-CoA:L-carnitine_O-palmitoyltransferase_Fatty_acid_metabolism_EC:2.3.1.21,Fatty_acid_oxidation,Adipocytes,CPT1A
11989,MTHFR3_pos,5_10-methylenetetrahydrofolatereductase_(NADPH),Folate_metabolism,Adipocytes,MTHFR
11990,r0792_pos,5-methyltetrahydrofolate:NAD+_oxidoreductase_One_carbon_pool_by_folate_/_Methane_metabolism_EC:1.5.1.20,Folate_metabolism,Adipocytes,MTHFR
11991,TREHe_pos,alpha_alpha-trehalase,Starch_and_sucrose_metabolism,Adipocytes,TREH
11992,PEPCK_pos,Phosphoenolpyruvate_carboxykinase_(GTP),Glycolysis/gluconeogenesis,Adipocytes,PCK1
11993,RPEc_neg,ribulose_5-phosphate_3-epimerase,Pentose_phosphate_pathway,Adipocytes,RPE
11994,PROSTGE2t_pos,prostaglandin_transport_via_bicarbonate_countertransport,Transport__extracellular,Adipocytes,SLCO1A1
11995,PROSTGE2t2_neg,prostaglandin_uniport,Transport__extracellular,Adipocytes,SLC22A1
11996,r0915_neg,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Adipocytes,SLC25A1
11997,r2374_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Adipocytes,SLC25A1
11998,r2373_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Adipocytes,SLC25A1
11999,LCYSTAT_pos,L-Cysteate:2-oxoglutarate_aminotransferase,Methionine_and_cysteine_metabolism,Adipocytes,GOT1
12000,SLDx_neg,L-sulfolactate_dehydrogenase_(NAD+),Methionine_and_cysteine_metabolism,Adipocytes,MDH1
12001,r2193_pos,Resistance-Nodulation-Cell_Division_(RND)_TCDB:2.A.60.1.14,Transport__extracellular,Adipocytes,SLCO1A1
12002,HYXNt_pos,Hypoxanthine_transport,Transport__extracellular,Adipocytes,SLC29A2
12003,OPAHir_pos,5-Oxoproline_amidohydrolase_(ATP-hydrolysing)_(ir),Glutathione_metabolism,Adipocytes,OPLAH
12004,r2139_pos,Resistance-Nodulation-Cell_Division_(RND)_TCDB:2.A.60.1.14,Transport__extracellular,Adipocytes,SLCO1A1
12005,41R2A1H12BOOX_pos,4-[(1R)-2-Amino-1-hydroxyethyl]-1_2-benzenediol:oxygen_oxidoreductase(deaminating)(flavin-containing),Tyrosine_metabolism,Adipocytes,MAOA
12006,34DHOXPEGOX_pos,3_4-Dihydroxyphenylethyleneglycol:NAD+_oxidoreductase,Tyrosine_metabolism,Adipocytes,ADH1
12007,FAOXC2251836x_pos,Beta_oxidation_of_long_chain_fatty_acid,Fatty_acid_oxidation,Adipocytes,ACAA1B
12008,CHSTEROLt1_neg,cholesterol_intracellular_transport,Transport__mitochondrial,Adipocytes,STARD3
12009,CHSTEROLt1_pos,cholesterol_intracellular_transport,Transport__mitochondrial,Adipocytes,STARD3
12010,r0707_pos,2-Amino-4-hydroxy-6-(erythro-1_2_3-trihydroxypropyl)_dihydropteridine_triphosphate_phosphohydrolase_(alkaline_optimum)_Folate_biosynthesis_EC:3.1.3.1,Unassigned,Adipocytes,ALPL
12011,PROSTGE2t2_pos,prostaglandin_uniport,Transport__extracellular,Adipocytes,SLC22A1
12012,PROSTGE2t_neg,prostaglandin_transport_via_bicarbonate_countertransport,Transport__extracellular,Adipocytes,SLCO1A1
12013,r0149_neg,CTP_diphosphohydrolase_Pyrimidine_metabolism_EC:3.6.1.5,Pyrimidine_catabolism,Adipocytes,ENTPD1
12014,r0497_neg,dTTP_nucleotidohydrolase_Pyrimidine_metabolism_EC:3.6.1.39,Pyrimidine_catabolism,Adipocytes,ENTPD1
12015,r0139_neg,CDP_diphosphohydrolase_Pyrimidine_metabolism_EC:3.6.1.5,Pyrimidine_catabolism,Adipocytes,ENTPD1
12016,r0181_neg,ITP_diphosphohydrolase_Purine_metabolism_EC:3.6.1.5,Purine_catabolism,Adipocytes,ENTPD1
12017,r0494_neg,dTDP_diphosphohydrolase_Pyrimidine_metabolism_EC:3.6.1.5,Pyrimidine_catabolism,Adipocytes,ENTPD1
12018,PUNP5_neg,purine-nucleoside_phosphorylase_(Inosine),Purine_catabolism,Adipocytes,PNP2
12019,NT5C_pos,Nicotinate_D-ribonucleotide_phosphohydrolase,NAD_metabolism,Adipocytes,NT5C
12020,DOPASULT_pos,Dopamine_Sulfotransferase,Tyrosine_metabolism,Adipocytes,SULT1A1
12021,NTD6_pos,5'-nucleotidase_(dAMP),Nucleotide_interconversion,Adipocytes,NT5C
12022,NDP10ex_pos,nucleoside-diphosphatase_(IDP)__extracellular,Nucleotide_interconversion,Adipocytes,CANT1
12023,GLUDxm_pos,glutamate_dehydrogenase_(NAD)_(mitochondrial),Glutamate_metabolism,Adipocytes,GLUD1
12024,GLUDym_neg,glutamate_dehydrogenase_(NADP)__mitochondrial,Glutamate_metabolism,Adipocytes,GLUD1
12025,GLCt4_neg,glucose_transport_via_sodium_symport,Transport__extracellular,Adipocytes,SLC5A10
12026,ALOX52_pos,Arachidonate_5-lipoxygenase,Eicosanoid_metabolism,Adipocytes,ALOX5
12027,LTA4H_pos,Leukotriene_A-4_hydrolase,Eicosanoid_metabolism,Adipocytes,LTA4H
12028,FRUt1r_pos,D-fructose_transport_in_via_uniport,Transport__extracellular,Adipocytes,SLC2A2
12029,FRUt4_neg,D-fructose_transport__via_sodium_cotransport,Transport__extracellular,Adipocytes,SLC5A10
12030,MALTe_pos,alpha-glucosidase__extracellular,Starch_and_sucrose_metabolism,Adipocytes,MGAM
12031,SO4t4_2_neg,sulfate_transport_via_sodium_symport,Transport__extracellular,Adipocytes,SLC13A4
12032,THYMt_pos,thymine_reversible_transport_via_facilated_diffusion,Transport__extracellular,Adipocytes,SLC29A2
12033,r1492_pos,Utilized_transport,Transport__extracellular,Adipocytes,ABCC8
12034,GALt4_neg,galactose_transport_via_sodium_symport,Transport__extracellular,Adipocytes,SLC5A10
12035,GALt1r_pos,galactose_transport_(uniport),Transport__extracellular,Adipocytes,SLC2A1
12036,PRODt2r_pos,D-proline_reversible_transport_via_proton_symport,Transport__extracellular,Adipocytes,SLC36A1
12037,TAUPAT1c_pos,transport_of_taurine_into_the_intestinal_cells_by_PAT1,Transport__extracellular,Adipocytes,SLC36A1
12038,BALAPAT1tc_pos,transport_of_beta_alanine_by_PAT1_in_renal_and_intestinal_cells,Transport__extracellular,Adipocytes,SLC36A1
12039,ABUTt4_2_r_neg,4-aminobutyrate_reversible_transport_in_via_sodium_symport_(1:2),Transport__extracellular,Adipocytes,SLC6A1
12040,ABUTt2r_pos,4-aminobutyrate_reversible_transport_in_via_proton_symport,Transport__extracellular,Adipocytes,SLC36A1
12041,ARACHDt2_pos,fatty_acid_transport_via_diffusion,Transport__extracellular,Adipocytes,SLC27A5
12042,FATP5t_pos,fatty_acid_electroneutral_transport,Transport__extracellular,Adipocytes,SLC27A5
12043,GALt2_2_neg,D-galactose_transport__via_proton_symport,Transport__extracellular,Adipocytes,SLC5A1
12044,DRPA_pos,deoxyribose-phosphate_aldolase,Pentose_phosphate_pathway,Adipocytes,DERA
12045,FATP4t_pos,fatty_acid_electroneutral_transport,Transport__extracellular,Adipocytes,SLC27A5
12046,PRODt2r_neg,D-proline_reversible_transport_via_proton_symport,Transport__extracellular,Adipocytes,SLC36A1
12047,FACOAL226_pos,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Adipocytes,ACSL1
12048,r0570_pos,2-Deoxy-D-ribose_1-phosphate_1_5-phosphomutase_Pentose_phosphate_pathway_EC:5.4.2.7,Pentose_phosphate_pathway,Adipocytes,PGM1
12049,LEUPHELAT2tc_neg,Transport_of_L-Leucine_into_the_cell_and_efflux_of_L-Phenylalanine_out_of_the_cell_by_LAT2_on_the_basolateral_surfaces_of_kidney_and_intestine.,Transport__extracellular,Adipocytes,SLC3A2
12050,TYRPHELAT2tc_pos,transport_of_L-Tyrosine_into_the_cell_and_efflux_of_L-Phenylalanine_out_of_the_cell_by_LAT2_on_the_basolateral_surfaces_of_kidney_and_intestine.,Transport__extracellular,Adipocytes,SLC3A2
12051,LEUPHELAT2tc_pos,Transport_of_L-Leucine_into_the_cell_and_efflux_of_L-Phenylalanine_out_of_the_cell_by_LAT2_on_the_basolateral_surfaces_of_kidney_and_intestine.,Transport__extracellular,Adipocytes,SLC3A2
12052,ILEPHELAT2tc_pos,transport_of_L-Isoleucine_into_the_cell_and_efflux_of_L-Phenylalanine_out_of_the_cell_by_LAT2_on_the_basolateral_surfaces_of_kidney_and_intestine.,Transport__extracellular,Adipocytes,SLC3A2
12053,THRPHELAT2tc_pos,transport_of_L-Threonine_into_the_cell_and_efflux_of_L-Phenylalanine_out_of_the_cell_by_LAT2_on_the_basolateral_surfaces_of_kidney_and_intestine.,Transport__extracellular,Adipocytes,SLC3A2
12054,VALPHELAT2tc_pos,transport_of_L-Valine_into_the_cell_and_efflux_of_L-Phenylalanine_out_of_the_cell_by_LAT2_on_the_basolateral_surfaces_of_kidney_and_intestine.,Transport__extracellular,Adipocytes,SLC3A2
12055,CYSPHELAT2tc_pos,transport_of_L-Cysteine_into_the_cell_and_efflux_of_L-Phenylalanine_out_of_the_cell_by_LAT2_on_the_basolateral_surfaces_of_kidney_and_intestine.,Transport__extracellular,Adipocytes,SLC3A2
12056,ASNPHELAT2tc_pos,transport_of_L-Asparagine_into_the_cell_and_efflux_of_L-Phenylalanine_out_of_the_cell_by_LAT2_on_the_basolateral_surfaces_of_kidney_and_intestine.,Transport__extracellular,Adipocytes,SLC3A2
12057,r1680_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Adipocytes,SLC7A6
12058,r1686_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Adipocytes,SLC7A6
12059,r1683_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Adipocytes,SLC7A6
12060,r1554_pos,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.8.1,Transport__extracellular,Adipocytes,SLC7A5
12061,r1557_pos,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.8.1,Transport__extracellular,Adipocytes,SLC7A5
12062,r1551_pos,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.8.1,Transport__extracellular,Adipocytes,SLC7A5
12063,r2137_pos,Major_Facilitator(MFS)_TCDB:2.A.1.14.6,Transport__extracellular,Adipocytes,SLC17A1
12064,GLCt2_2_neg,D-glucose_transport_in_via_proton_symport,Transport__extracellular,Adipocytes,SLC5A1
12065,r0817_pos,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.3.2,Transport__extracellular,Adipocytes,SLC7A2
12066,r1043_pos,Concentrative_Nucleoside_Transporter_(CNT)_TCDB:2.A.41.2.3,Transport__extracellular,Adipocytes,SLC28A1
12067,DADNt4_neg,deoxyadenosine_transport_via_diffusion,Transport__extracellular,Adipocytes,SLC29A2
12068,r2447_pos,Concentrative_Nucleoside_Transporter_(CNT)_TCDB:2.A.41.2.3,Transport__extracellular,Adipocytes,SLC28A1
12069,r1044_pos,Concentrative_Nucleoside_Transporter_(CNT)_TCDB:2.A.41.2.3,Transport__extracellular,Adipocytes,SLC28A1
12070,DCYTt_neg,deoxycytidine_transport_via_diffusion,Transport__extracellular,Adipocytes,SLC29A2
12071,DURIt_neg,deoxyuridine_transport_via_diffusion,Transport__extracellular,Adipocytes,SLC29A2
12072,r2525_pos,Major_Facilitator(MFS)_TCDB:2.A.1.44.1,Transport__extracellular,Adipocytes,SLC43A1
12073,r2532_pos,Major_Facilitator(MFS)_TCDB:2.A.1.44.1,Transport__extracellular,Adipocytes,SLC43A1
12074,r2526_pos,Major_Facilitator(MFS)_TCDB:2.A.1.44.1,Transport__extracellular,Adipocytes,SLC43A1
12075,r1964_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Adipocytes,SLC7A6
12076,ARGtiDF_pos,L-arginine_transport_via_diffusion_(extracellular_to_cytosol),Transport__extracellular,Adipocytes,SLC38A4
12077,LYStiDF_pos,L-lysine_transport_via_diffusion_(extracellular_to_cytosol),Transport__extracellular,Adipocytes,SLC38A4
12078,r1831_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Adipocytes,SLC7A6
12079,r1833_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Adipocytes,SLC7A6
12080,r1836_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Adipocytes,SLC7A6
12081,TYMSULT_pos,Tyramine_Sulfotransferase,Tyrosine_metabolism,Adipocytes,SULT1A1
12082,HOMt4_pos,L-homoserine_via_sodium_symport,Transport__extracellular,Adipocytes,SLC7A1
12083,r0817_neg,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.3.2,Transport__extracellular,Adipocytes,SLC7A2
12084,r1544_pos,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.8.1,Transport__extracellular,Adipocytes,SLC7A5
12085,PHEtec_pos,L-phenylalanine_transport_via_diffusion_(extracellular_to_cytosol),Transport__extracellular,Adipocytes,SLC16A10
12086,r1553_pos,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.8.1,Transport__extracellular,Adipocytes,SLC7A5
12087,r1673_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Adipocytes,SLC7A6
12088,r1682_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Adipocytes,SLC7A6
12089,r1677_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Adipocytes,SLC7A6
12090,r1675_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Adipocytes,SLC7A6
12091,r1548_pos,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.8.1,Transport__extracellular,Adipocytes,SLC7A5
12092,r1546_pos,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.8.1,Transport__extracellular,Adipocytes,SLC7A5
12093,r1915_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Adipocytes,SLC7A6
12094,CYSTSERex_pos,L-cystine/glycine_exchanger_(cystine_in),Transport__extracellular,Adipocytes,SLC3A1
12095,ORNtiDF_pos,ornithine_transport_via_diffusion_(extracellular_to_cytosol),Transport__extracellular,Adipocytes,SLC7A1
12096,r0009_pos,Pyrophosphate_phosphohydrolase_EC:3.6.1.1,Purine_catabolism,NK_cells,LHPP
12097,r2373_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12098,r2374_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12099,r2385_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12100,r2386_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12101,r2387_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12102,r2388_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12103,r0915_neg,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12104,DAGK_hs_neg,Diacylglycerol_phosphate_kinase_(homo_sapiens),Glycerophospholipid_metabolism,Mural,DGKA
12105,CHLPCTD_pos,choline_phosphate_cytididyltransferase,Glycerophospholipid_metabolism,Mural,PCYT1A
12106,CEPTC_pos,choline_phosphotransferase,Glycerophospholipid_metabolism,Mural,CEPT1
12107,r1147_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__peroxisomal,Mural,SLC25A1
12108,r2377_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12109,r2400_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12110,r2396_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12111,r2382_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12112,r2381_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12113,r2392_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12114,r2391_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12115,r2384_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12116,r2389_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12117,r2390_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12118,r2380_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12119,r2378_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12120,r2416_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12121,r2376_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.7.2,Transport__mitochondrial,Mural,SLC25A1
12122,r1427_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12123,r2395_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12124,r2413_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12125,r2397_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12126,r2409_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12127,r2408_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12128,r2407_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12129,r2406_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12130,r2405_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12131,r2403_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12132,r2399_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
12133,FCLTm_pos,Ferrochelatase__mitochondrial,Heme_synthesis,Mural,FECH
12134,r2410_pos,Mitochondrial_Carrier_(MC)_TCDB:2.A.29.19.1,Transport__mitochondrial,Mural,SLC25A2
